gender,uti_ratio,limit,mortgage_payment,n_overdue,n_cards,overdue
M,1.03,1500,0,3,3,0
M,0.01,1500,0,1,6,0
M,1,1500,0,0,10,0
M,1,1500,0,0,3,0
M,1.09,1500,0,3,17,1
M,1.02,1500,0,0,0,0
M,0,1500,0,1,2,0
M,0.98,1500,0,1,3,1
M,0.19,1500,0,1,7,0
M,0.01,1500,0,0,1,1
M,0.89,1500,0,6,4,1
M,0.95,1500,0,3,3,1
M,1,1600,3176,0,9,0
M,1,1600,0,22,21,1
M,0.98,1600,2401,2,12,0
M,0.99,1600,0,0,5,0
M,1,1600,0,24,19,0
M,1,1600,0,0,2,1
M,0.02,1600,0,0,0,1
M,0.98,1700,0,3,13,0
M,1.51,1700,0,1,16,0
M,0.97,1800,0,1,3,0
M,1.9,1900,3451,0,8,0
M,1.02,1900,0,4,6,1
M,1.01,2000,0,0,13,1
M,0.22,2000,0,0,4,1
M,0.99,2000,0,6,2,1
M,0.98,2000,0,1,7,1
M,0.22,2000,0,0,0,0
M,1.01,2000,0,3,2,1
M,0.39,2000,0,0,37,0
M,1.02,2000,0,0,0,0
M,0.54,2000,0,2,0,0
M,0,2000,0,2,0,0
M,0.04,2000,0,3,1,0
M,0.72,2000,0,3,6,1
M,0.23,2000,0,0,5,0
M,0.42,2000,0,1,16,0
M,0.03,2000,0,5,1,0
M,0.87,2000,0,0,2,0
M,1.06,2000,0,6,14,0
M,1.02,2000,0,6,2,1
M,0.97,2000,0,0,11,0
M,0.4,2000,0,2,0,0
M,1.02,2000,0,8,4,1
M,1.02,2000,0,5,0,1
M,0.05,2000,0,0,9,0
M,1,2000,0,1,2,0
M,0.99,2000,0,6,5,0
M,0.7,2000,0,3,0,1
M,1.03,2000,0,4,5,1
M,1.02,2000,0,7,1,1
M,0.83,2000,1252,0,6,0
M,1.02,2000,1554,4,0,0
M,0.46,2000,0,3,7,0
M,0.98,2000,0,0,3,1
M,1.11,2000,6443,1,3,0
M,0.74,2000,0,0,0,0
M,0.37,2000,0,0,10,1
M,0.1,2000,0,0,3,0
M,1.02,2000,0,1,5,0
M,0.4,2000,0,3,4,1
M,0.45,2000,0,0,3,0
M,1.01,2000,0,9,3,1
M,0.98,2000,0,0,5,0
M,0.84,2000,0,2,8,0
M,0.97,2000,0,3,0,0
M,0.02,2000,0,0,4,0
M,1.09,2000,0,7,0,1
M,0,2000,11824,0,4,0
M,1.02,2000,0,2,0,0
M,0,2000,0,0,0,0
M,1.31,2000,0,3,4,0
M,1.01,2000,0,5,0,0
M,0.74,2000,0,1,8,1
M,1.32,2000,0,1,11,1
M,0.83,2000,0,0,3,0
M,0.99,2000,0,11,27,0
M,1.41,2000,0,1,22,1
M,0.36,2000,0,0,6,0
M,0.99,2000,0,0,9,0
M,1.6,2000,0,6,42,1
M,0.99,2000,0,0,13,0
M,1.02,2000,0,11,4,1
M,0.72,2000,0,9,7,1
M,0.46,2000,0,8,5,1
M,1.01,2000,0,0,7,0
M,0.52,2000,0,5,17,1
M,0.99,2000,0,2,2,0
M,1,2000,0,2,6,0
M,0.46,2000,0,3,0,1
M,1.53,2000,0,2,7,0
M,0.99,2000,0,7,3,0
M,1,2000,0,2,2,0
M,0.96,2000,0,0,7,0
M,0.52,2000,0,12,3,1
M,0.89,2000,3515,0,4,0
M,1.01,2000,0,5,1,0
M,0.9,2000,1582,1,8,0
M,1.08,2000,0,0,12,1
M,0.9,2000,0,0,1,0
M,1.26,2000,0,5,0,0
M,0.95,2000,0,0,11,1
M,0.93,2000,0,3,0,0
M,0.09,2000,0,0,3,0
M,1.01,2000,0,5,2,1
M,1.02,2000,0,0,15,0
M,1.01,2000,1192,0,10,1
M,0.96,2000,1071,9,0,0
M,0.96,2000,0,3,0,0
M,0,2000,2122,0,2,0
M,0.81,2000,0,9,1,1
M,1.01,2000,0,0,10,1
M,0.99,2000,1119,0,37,0
M,0.83,2000,0,1,16,0
M,1.02,2000,0,5,12,0
M,0.08,2000,0,0,5,0
M,0.08,2000,0,0,12,0
M,0.46,2000,3702,0,44,0
M,0.54,2000,0,2,2,0
M,0,2000,0,0,5,1
M,1.04,2000,0,0,18,0
M,0.92,2000,0,2,0,0
M,1.01,2000,0,0,6,0
M,1.01,2000,10008,2,1,0
M,0.81,2000,0,9,0,1
M,1.01,2000,0,1,0,0
M,1.09,2000,0,0,6,0
M,1.98,2000,40004,2,29,0
M,0.9,2000,0,3,12,1
M,1.5,2000,0,1,5,0
M,0.95,2000,0,7,0,1
M,0.47,2000,0,0,0,0
M,1.03,2000,0,5,4,1
M,0.99,2000,2700,0,4,0
M,1.09,2000,0,0,10,1
M,1.05,2000,0,6,0,0
M,0.99,2000,0,4,3,0
M,0.4,2000,0,3,4,0
M,1,2000,0,0,15,0
M,0.01,2000,0,0,0,0
M,2.39,2000,0,9,4,1
M,0.73,2000,0,5,1,1
M,1.2,2000,0,1,19,1
M,0.99,2000,0,6,13,0
M,0.93,2000,0,0,0,0
M,0.11,2000,0,1,2,0
M,0.78,2000,0,0,1,0
M,1.02,2000,0,6,3,0
M,1,2000,0,1,0,0
M,0,2000,0,2,0,0
M,0.98,2000,865,10,2,0
M,1.04,2000,0,6,11,0
M,1.02,2000,0,5,4,0
M,0.96,2000,0,3,10,1
M,1,2000,0,0,21,0
M,0.82,2000,0,1,1,0
M,0.33,2000,1100,0,0,0
M,2,2000,9760,0,4,0
M,1.03,2000,0,0,3,0
M,1.02,2000,0,3,0,0
M,0,2000,0,0,1,0
M,0.26,2000,0,0,3,0
M,0.75,2000,0,0,0,0
M,0.08,2000,0,3,12,0
M,0.23,2000,0,0,0,0
M,1.01,2000,0,18,8,0
M,1.02,2000,0,2,6,1
M,1.02,2000,0,0,9,0
M,1,2000,0,0,0,1
M,0.12,2000,0,0,0,0
M,1,2000,0,1,8,0
